city,latitude,longitude
Adeje,28.1227,-16.7260
Arafo,28.3408,-16.4214
Arico,28.1660,-16.4830
Arona,28.0996,-16.6800
Buenavista del Norte,28.3744,-16.8556
Candelaria,28.3553,-16.3706
Fasnia,28.2340,-16.4360
Garachico,28.3733,-16.7625
Granadilla de Abona,28.1186,-16.5772
La Guancha,28.3580,-16.6480
Guía de Isora,28.2122,-16.7781
Güímar,28.3186,-16.4131
Icod de los Vinos,28.3667,-16.7167
San Cristóbal de La Laguna,28.4853,-16.3200
La Laguna,28.4853,-16.3200
La Matanza de Acentejo,28.4500,-16.4500
La Orotava,28.3906,-16.5236
Los Realejos,28.3833,-16.5833
El Rosario,28.4170,-16.3500
San Juan de la Rambla,28.3920,-16.6470
San Miguel de Abona,28.0997,-16.6189
Santa Cruz de Tenerife,28.4636,-16.2518
Santa Úrsula,28.4190,-16.4870
Santiago del Teide,28.2944,-16.8267
El Sauzal,28.4680,-16.4280
Los Silos,28.3667,-16.8167
Tacoronte,28.4769,-16.4103
El Tanque,28.3540,-16.7870
Tegueste,28.5167,-16.3333
La Victoria de Acentejo,28.4333,-16.4667
Vilaflor,28.1572,-16.6358
Puerto de la Cruz,28.4144,-16.5489
